METADATA,,,,,,,,,,,,,,
title.en,SERVICE RESTRICTIONS (Recapitulatory list of service restrictions in force relating to telecommunications operation),,,,,,,,,,,,,
title.fr,RESTRICTIONS DE SERVICE (Liste récapitulative des restrictions de service en vigueur relatives à l’exploitation des télécommunications),,,,,,,,,,,,,
title.es,RESTRICCIONES DE SERVICIO (Lista recapitulativa de las restricciones de servicio en vigor relativas a la explotación de las telecomunicaciones),,,,,,,,,,,,,
locale.geographic_area.en,Country/Geographical area,,,,,,,,,,,,,
locale.geographic_area.fr,Países/Zonas geográficas,,,,,,,,,,,,,
locale.geographic_area.es,Pays/Zones géographiques,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
DATA,,,,,,,,,,,,,,
geographic_area.fr,geographic_area.en,geographic_area.es,restrictions.telex_not_provided[boolean],restrictions.telegram_not_provided[boolean],restrictions.no_collect_calls.mobile[boolean],restrictions.no_collect_calls.payphone[boolean],restrictions.no_collect_calls.audiotex[boolean],restrictions.no_collect_calls.virtual[boolean],restrictions.no_collect_calls.incoming[boolean],restrictions.no_collect_calls.outgoing[boolean],restrictions.no_messenger_dispatch[boolean],notes.en,notes.es,notes.fr
Groenland,Greenland,Groenlandia,,TRUE,,,,,,,,The telegram service is no longer provided. Telephone calls requiring the dispatch of a messenger are no longer admitted.,El servicio de telegramas está suprimido. No se admiten llamadas telefónicas que requieran el envío de un mensajero,Le service des télégrammes n'est plus assuré. Les appels téléphoniques nécessitant l'envoi d'un messager ne sont plus admis.
Guyana,Guyana,Guyana,TRUE,TRUE,TRUE,,,,,,,The telex service is no longer provided. The telegram service is no longer provided. Collect calls to mobile numbers are not accepted,El servicio télex está suprimido. El servicio de telegramas está suprimido. No se aceptan llamadas de cobro revertido efectuadas a números de teléfonos móviles,Le service télex n'est plus assuré. Le service des télégrammes n'est plus assuré. Les communications payables à l'arrivée à destination de numéros mobiles ne sont pas acceptées.
Haïti,Haiti,Haiti,TRUE,,,,,,,,,The telex service is no longer provided.,El servicio télex está suprimido,Le service télex n'est plus assuré.
Honduras,Honduras,Honduras,,,TRUE,,,,,,,Collect calls to mobile numbers are not accepted,No se aceptan llamadas de cobro revertido efectuadas a números de teléfonos móviles,Les communications payables à l'arrivée à destination de numéros mobiles ne sont pas acceptées.
"Hong Kong, Chine","Hong Kong, China","Hong Kong, China",,TRUE,,,,,,,,The telegram service and CT2 service are no longer provided,El servicio de telegramas y el servicio CT2 están suprimidos,Le service des télégrammes et le service CT2 ne sont plus assurés.
Hongrie,Hungary,Hungría,TRUE,TRUE,TRUE,,,,TRUE,TRUE,,The telex service is no longer provided. The telegram service is no longer provided. Collect calls for both outgoing and incoming are not accepted,El servicio télex está suprimido. El servicio de telegramas está suprimido. No se aceptan llamadas de cobro revertido entrantes ni salientes,Le service télex n'est plus assuré. Le service des télégrammes n'est plus assuré. Les communications entrantes et sortantes payables à l'arrivée ne sont pas acceptées. 
Islande,Iceland,Islandia,TRUE,,TRUE,,,,TRUE,TRUE,,The telex service is no longer provided. Collect calls for both outgoing and incoming are not accepted,El servicio télex está suprimido. No se aceptan llamadas de cobro revertido entrantes ni salientes,Le service télex n'est plus assuré. Les communications entrantes et sortantes payables à l'arrivée ne sont pas acceptées.
Indonésie,Indonesia,Indonesia,,TRUE,TRUE,,,,,,,Collect calls to mobile numbers are not accepted. The telegram service is no longer provided. PT Indosat no longer route nor accept telephone traffic via transit carriers. Telecom operators are requested to switch to the hubbing method for routing traffic to PT Indosat,No se aceptan llamadas de cobro revertido efectuadas a números de teléfonos móviles. El servicio de telegramas está suprimido. PT Indosat no encamina ni acepta tráfico telefónico procedente de operadores de tránsito. Se invita a los operadores de telecomunicaciones que utilicen un método de concentración para el encaminamiento de su tráfico a PT Indosat,Les communications payables à l'arrivée à destination de numéros mobiles ne sont pas acceptées. Le service des télégrammes n'est plus assuré. PT Indosat n'achemine plus et n'accepte plus de trafic téléphonique via des opérateurs de transit. Les opérateurs de télécommunication concernés sont priés de bien vouloir adopter la méthode de concentration (hubbing) pour le routage de leur trafic à destination de PT Indosat.
Irlande,Ireland,Irlanda,,,,,,,,,TRUE,Telephone calls requiring the dispatch of a messenger are no longer admitted.,No se admiten llamadas telefónicas que requieran el envío de un mensajero,Les appels téléphoniques nécessitant l'envoi d'un messager ne sont plus admis.
Japon,Japan,Japón,,,,,,,,,TRUE,Telephone calls requiring the dispatch of a messenger are no longer admitted.,No se admiten llamadas telefónicas que requieran el envío de un mensajero,Les appels téléphoniques nécessitant l'envoi d'un messager ne sont plus admis.
